site,year,month,day,location,depth,temp,salinity,ph,secchi,lat,long,,,,,,,,,
kis7,2015,5,23,c1,1,11.1,26.7,7.9,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,c3,2,11,26.7,7.9,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,d0,0,11.7,26.7,8,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,d1,1,11.5,26.7,8,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,d5,5,11.1,26.7,8,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,d10,10,11,26.7,8,6.5,-128.25247,51.84163,,,,,,,,,
ssp,2015,5,31,a0,0,10.1,27.1,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,b0,0,10.1,27,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,b1,1,10.1,27,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,c0,0,10.1,27.1,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,c1,1,10.1,27.1,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,c3,1.3,10.1,27.1,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,d0,0,10.1,27.3,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,d1,1,10,27.3,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,d5,5,9.9,27.3,7.9,n/a,-128.11392,51.67962,,,,,,,,,
ssp,2015,5,31,d10,10,9.8,27.3,7.9,n/a,-128.11392,51.67962,,,,,,,,,
wfb,2015,5,31,a0,0,10.4,26.7,7.8,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,b0,0,10.4,26.9,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,b1,1,10.4,26.9,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,c0,0,10.2,27,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,c1,1,10.2,27,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,c3,3,10.2,27,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,d0,0,9.9,27.2,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,d1,1,9.9,27.2,7.9,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,d5,5,9.6,27.4,7.8,n/a,-128.1192833,51.68283333,,,,,,,,,
wfb,2015,5,31,d10,10,9.4,27.5,7.8,n/a,-128.1192833,51.68283333,,,,,,,,,
koe1,2015,6,1,a0,0,15,17.1,8,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,b0,0,14.9,17.1,8.1,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,b1,1,15,17.2,8.1,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,c0,0,14.9,16.9,8,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,c1,1,15,17,8.1,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,c3,1.5,14.7,17.9,8.1,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,d0,0,15.1,16.7,8,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,d1,1,15,17.4,8.1,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,d5,5,9.9,26.1,8,5,-127.87541,51.77252,,,,,,,,,
koe1,2015,6,1,d10,10,9.5,26.4,7.9,5,-127.87541,51.77252,,,,,,,,,
koe3,2015,6,1,a0,0,14.9,17.3,7.2,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,b0,0,14.9,17.3,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,b1,1,14.8,17.7,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,c0,0,15.1,16.8,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,c1,1,14.7,17.8,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,c3,3,14.7,17.8,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,d0,0,15.1,16.7,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,d1,1,15,17.4,8.1,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,d5,5,9.9,26.1,8,5,-127.87843,51.7761,,,,,,,,,
koe3,2015,6,1,d10,10,9.5,26.4,7.9,5,-127.87843,51.7761,,,,,,,,,
chp,2015,6,2,a0,0,10.3,26.2,7.7,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,b0,0,10.2,26.5,7.8,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,b1,1,10.2,26.5,7.8,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,c0,0,10.2,26.5,7.9,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,c1,1,10.2,26.4,7.9,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,c3,1.5,10.2,26.5,7.9,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,d0,0,10.3,26.3,7.9,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,d1,1,10.3,26.3,7.9,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,d5,5,10.1,26.6,7.9,4.5,-128.12369,51.67649,,,,,,,,,
chp,2015,6,2,d10,6,10,26.6,7.9,4.5,-128.12369,51.67649,,,,,,,,,
hdo,2015,6,2,a0,0,13.1,23.5,8,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,b0,0,13.1,24,8.1,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,b1,1,12.7,25,8.2,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,c0,0,13.1,24.1,8.1,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,c1,1,13.1,24.4,8.1,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,c3,3,12,25.4,8.2,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,d0,0,13.7,20.8,8.3,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,d1,1,13.2,23.5,8.3,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,d5,5,10.1,26.6,7.9,n/a,-128.12968,51.65494,,,,,,,,,
hdo,2015,6,2,d10,10,10.2,26.5,7.9,n/a,-128.12968,51.65494,,,,,,,,,
sni7,2015,6,10,a0,0,15.3,22.9,8.2,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,b0,0,15,22.9,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,b1,1,14.8,22.9,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,c0,0,14.7,22.9,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,c1,1,14.3,22.9,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,c3,3,13.4,23.5,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,d0,0,14.3,23,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,d1,1,14.2,23,8.3,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,d5,5,10.4,27.1,7.9,5,-128.12917,51.65501,,,,,,,,,
sni7,2015,6,10,d10,10,10,27.4,7.8,5,-128.12917,51.65501,,,,,,,,,
sni8,2015,6,10,a0,0,15.5,20.5,8.3,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,b0,0,15.1,21.2,8.3,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,b1,1,n/a,n/a,n/a,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,c0,0,14.7,21,8.3,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,c1,1,13,22.3,8.3,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,c3,1.8,12.1,24.9,8.2,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,d0,0,14.9,20.4,8.3,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,d1,1,12.9,23.5,8.3,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,d5,5,10.2,26.7,7.9,4.5,-128.01682,51.78708,,,,,,,,,
sni8,2015,6,10,d10,10,9.6,27.3,7.7,4.5,-128.01682,51.78708,,,,,,,,,
