site,year,month,day,net_extent_set_1,net_width_set_1,depth_extent_set_1,net_extent_set_2,net_width_set_2,depth_extent_set_2,area_set1,vol_set1,area_set2,vol_set2,notes
hab5,2015,6,14,25,10,3,25,10,3,239,359,239,359,
hab6,2015,6,19,40,10,3,50,10,3,389,584,489,734,
hab7,2015,6,14,20,10,3,25,10,3,189,284,239,359,
hdo,2015,5,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
hdo,2015,6,2,40,9,3,30,9,3,351,527,261,392,
hdo,2015,7,2,25,10,3,20,10,3,239,359,189,284,
hdo,2015,7,29,25,10,3,25,10,3,239,359,239,359,
hdo,2015,9,2,20,8,1,20,9,1,153,77,171,86,
kis1,2015,6,17,25,10,3,25,10,3,239,359,239,359,
kis10,2015,6,17,8,8,3,7,7,3,57,86,44,66,
kis2,2015,7,7,20,9,1.5,20,9,1.5,171,128,171,128,
kis6,2015,7,7,25,6,1.5,25,7,1.5,146,110,170,127,
kis7,2015,5,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
kis8,2015,5,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
koe1,2015,6,1,30,18,1.5,30,18,1.5,505,379,505,379,
koe1,2015,7,8,40,20,1.5,45,18,1.5,757,568,775,581,
koe1,2015,7,31,50,15,3,50,18,3,726,1089,865,1298,
koe1,2015,9,13,35,19,2,36,20,2,626,626,677,677,
koe3,2015,6,1,20,10,3,20,6,3,189,284,116,174,
koe3,2015,7,8,25,10,1.3,30,8,1.3,239,156,233,152,
koe3,2015,7,31,20,9,1.5,35,9,1.5,171,128,306,230,
koe3,2015,9,13,18,9,2,18,10,2,153,153,169,169,
nam1,2015,6,16,25,10,1,35,10,1,239,120,339,170,
nam2,2015,6,16,20,10,3,25,10,3,189,284,239,359,
pba,2015,5,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
pba,2015,5,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
pba,2015,7,2,20,10,1.8,25,10,1.8,189,170,239,215,
pba,2015,7,30,25,9,3,40,8,1,216,324,313,157,
pba,2015,9,12,35,8,2,25,8,2,273,273,193,193,
ppo,2015,5,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ppo,2015,7,3,25,10,3,10,10,3,239,359,89,134,
ppo,2015,7,29,45,9,3,30,9,3,396,594,261,392,"set 2 snagged on rock, success 2 at best"
ppo,2015,9,2,25,8,3,25,8,3,193,290,193,290,
ris1,2015,8,1,17,10,2,25,8,2,159,159,193,193,
ris2,2015,8,16,25,8,3,25,10,3,193,290,239,359,
ris3,2015,8,1,20,11,3,17,11,3,207,311,174,261,
ris5,2015,8,16,30,11,3,30,8,3,317,476,233,350,
ris6,2015,8,17,35,18,2.1,35,18,2.1,595,625,595,625,
ris7,2015,8,17,40,8,1.8,35,8,1.8,313,282,273,246,
sni1,2015,7,4,20,8,3,20,10,3,153,230,189,284,
sni10,2015,8,13,30,9,2.2,40,9,2.2,261,287,351,386,
sni11,2015,8,14,20,8,2.8,30,11,2.8,153,214,317,444,
sni12,2015,8,14,45,9,3,40,9,3,396,594,351,527,
sni2,2015,7,4,20,10,3,25,10,3,189,284,239,359,
sni5,2015,5,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
sni6,2015,5,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
sni7,2015,6,10,30,10,3,30,10,3,289,434,289,434,
sni8,2015,6,10,25,7,1.8,25,9,1.8,170,153,216,195,
sni9,2015,8,13,15,11,2.5,20,11,2.5,152,190,207,259,
ssp,2015,5,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ssp,2015,5,31,30,21,1.3,30,18,1.3,583,379,505,328,
ssp,2015,7,1,20,14,3,30,16,3,259,388,453,679,
ssp,2015,7,28,35,18,3,35,18,3,595,893,595,893,
ssp,2015,9,3,35,18,2,35,16,2,595,595,533,533,
wfb,2015,5,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
wfb,2015,5,31,40,18,3,40,18,3,685,1028,685,1028,
wfb,2015,7,1,30,18,3,30,14,3,505,758,399,598,
wfb,2015,7,28,35,18,1.5,35,18,1.5,595,446,595,446,
wfb,2015,9,3,30,19,2,35,19,2,531,531,626,626,
ssp,2016,4,7,30,12,3,35,15,3,345,517,501,751,
wfb,2016,4,8,30,18,2,35,12,2,505,505,405,405,
chp,2016,4,8,12,8,1,12,6,1,89,45,68,34,
ppo,2016,4,9,20,6,3,30,9,3,116,174,261,392,
pba,2016,4,9,19,9,3,35,9,3,162,243,306,459,
hdo,2016,4,12,25,9,3,25,9,3,216,324,216,324,
chp,2016,5,7,30,12,1,18,10,1,345,172,169,85,
hdo,2016,5,7,30,12,3,20,12,3,345,517,225,337,
wfb,2016,5,8,40,15,3,n/a,n/a,n/a,576,864,n/a,n/a,second set abandoned due excessive swell
